filename,hsize,rsize
724900_5_M.pdf,122 MB,128048038
3691910_2_M.pdf,78 MB,81383107
786298_6_M.pdf,161 MB,168426797
1855676_2_M.pdf,103 MB,108395214
3682095_4_M.pdf,61 MB,64146819
4165430_2_M.pdf,41 MB,43275116
1813851_3_M.pdf,88 MB,91980568
4180156_3_M.pdf,348 MB,364886668
1858836_4_M.pdf,43 MB,44622370
2804544_2_M.pdf,26 MB,26773238
1491807_5_M.pdf,75 MB,78931853
15278_4_M.pdf,437 MB,458396793
727554_13_M.pdf,96 MB,100672833
1869967_5_M.pdf,115 MB,120459375
5522516_1_M.pdf,207 MB,217170372
3651999_3_M.pdf,148 MB,154951438
19332_9_M.pdf,580 MB,608109261
4132150_5_M.pdf,188 MB,196954953
1842584_4_M.pdf,2.35 GB,2521010842
643040_3_M.pdf,54 MB,56729793
559861_1_M.pdf,190 MB,199326514
3284844_2_M.pdf,104 MB,108651141
12119_6_M.pdf,56 MB,58270806
600675_4_M.pdf,100 MB,104889728
4463972_6_M.pdf,82 MB,86435325
4481283_1_M.pdf,17 MB,17998389
3229995_2_M.pdf,90 MB,94776431
645450_14_M.pdf,132 MB,138114109
5514760_1_M.pdf,49 MB,50953126
1441436_3_M.pdf,80 MB,84346633
4462810_3_M.pdf,102 MB,107094831
3628558_3_M.pdf,753 KB,770909
3669979_2_M.pdf,186 MB,194951261
776734_2_M.pdf,172 MB,179916458
4117295_6_M.pdf,213 MB,223343307
3897281_2_M.pdf,252 MB,264755859
4717057_3_M.pdf,92 MB,96357229
13061_7_M.pdf,109 MB,114336233
3650150_2_M.pdf,146 MB,152692172
2844383_8_M.pdf,151 MB,158340285
4710224_1_M.pdf,26 MB,26885902
4483312_1_M.pdf,31 MB,32954072
3581999_3_M.pdf,60 MB,62527566
3816449_2_M.pdf,163 MB,171337909
3647522_3_M.pdf,153 MB,160126411
4659777_1_M.pdf,97 MB,102115565
3692938_3_M.pdf,60 MB,63190252
2958178_2_M.pdf,167 MB,175324301
2988745_7_M.pdf,454 MB,476267702
3267085_2_M.pdf,60 MB,62638799
2941118_2_M.pdf,47 MB,48818390
2967281_8_M.pdf,300 MB,314553965
736441_3_M.pdf,61 MB,63992759
4745430_2_M.pdf,104 MB,108540639
1877557_10_M.pdf,107 MB,111852494
4426963_1_M.pdf,21 MB,22414894
4408438_2_M.pdf,43 MB,44670615
